State	LogProb	m[0][0]	m[0][1]	m[0][2]	m[1][0]	m[1][1]	m[1][2]	m[2][0]	m[2][1]	m[2][2]	
213000	-53224.8	0.995714	0.000220616	0.00406518	0.000546054	0.979896	0.0195579	0.00582875	0.0470677	0.947104	
214000	-53246.8	0.984604	0.0146607	0.000735364	0.00170295	0.996569	0.00172797	0.0365457	0.00450235	0.958952	
215000	-53227	0.989513	0.00345116	0.00703558	0.0100578	0.989807	0.000135083	8.96236e-05	0.0107256	0.989185	
216000	-53222.8	0.989929	0.000745978	0.00932476	0.0028239	0.988788	0.00838782	0.0299191	0.00421937	0.965862	
217000	-53238.3	0.989883	0.00233974	0.00777723	0.00576384	0.961671	0.0325657	0.0194291	0.0589894	0.921581	
218000	-53237.1	0.993689	0.00510898	0.00120238	0.033845	0.963264	0.00289114	0.0561705	0.0132194	0.93061	
219000	-53248.5	0.997171	0.00138641	0.00144243	0.0197428	0.977027	0.00322973	0.000758303	0.0674909	0.931751	
220000	-53227.7	0.989968	0.00965621	0.000375762	0.016347	0.96276	0.0208927	0.0639186	0.0139893	0.922092	
221000	-53230.3	0.975655	0.0158068	0.00853816	0.00313253	0.995619	0.00124871	0.0149281	0.0157528	0.969319	
222000	-53251	0.987485	0.00920935	0.00330605	0.00547993	0.990295	0.00422504	0.0477693	0.0271872	0.925043	
